,,,,
,PREGÃO ELETRÔNICO,,,
,Etapas,Atividade,Responsáveis,"Prazo Limite
(dias úteis)"
,1,"ANÁLISE DOS DOCUMENTOS DE INSTRUÇÃO PROCESSUAL (Oficialização de demanda /DOD ou NT, ETP, TR//Projeto Básico, Análise de Risco, RMS, Requisição SAP) ",LAYLLAH / MARCUS,5
,2,"SANEAMENTO DA INSTRUÇÃO DO PROCESSO PELA ÁREA REQUISITANTE, QUANDO NECESSÁRIO",,10
,3,TERMO DE ENQUADRAMENTO ,,1
,4,ELABORAÇÃO MINUTA DE CONTRATO * (e salvar como arquivo auxiliar do processo),,1
,5,PESQUISA DE MERCADO/JUSTIFICATIVA DE VALOR,FRANCIELE / ROBERTA,15
,6,AJUSTES NA INSTRUÇÃO DURANTE A PESQUISA,,3
,7,MANIFESTAÇÃO DE VALOR DA ÁREA REQUISITANTE E NOVA RMS (caso a pesquisa indique o valor de referência a maior),,3
,8," AUTORIZAÇÃO DO ORDENADOR, QUANDO NECESSÁRIA",,2
,9, PREVISÃO ORÇAMENTÁRIA ,,2
,10,AUTORIZAÇÃO DA ABERTURA DO PROCESSO LICITATÓRIO,ALENCASTRO,2
,11,ANEXAR DEM PREGOEIRO E EQUIPE DE APOIO,,0
,12,ELABORAÇÃO MINUTA DE EDITAL,,5
,13,ANÁLISE JÚRIDICA  (COM CHECK LIST),,15
,14,"SANEAMENTO DO PROCESSO (ÁREA REQUISITANTE E GCC), QUANDO COUBER ",,5
,15,ELABORAÇÃO  DO DESPACHO SANEADOR,,2
,16,"ANÁLISE E PUBLICAÇÃO EDITAL NO PNCP, DOU E SITE DA TELEBRAS",PEDRO / ROSILDA,3
,17,ESCLARECIMENTOS/IMPUGNAÇÃO,,0
,18,ABERTURA DA SESSÃO PÚBLICA ,,15
,19,ANÁLISE DE PROPOSTA/HABILITAÇÃO: JURÍDICA; ECONÔMICA-FINANANCEIRA; e FISCAL ,,1
,20,ANÁLISE DE PROPOSTA/HABILITAÇÃO: TÉCNICA,,3
,21,PRAZOS RECURSAIS (5 + 5 + 15),,25
,22,ADJUDICAÇÃO/HOMOLOGAÇÃO,,3
,23,DESPACHO DE ENCAMINHAMENTO PARA FORMALIZAÇÃO CONTRATUAL,,1
,24,"SOLICITAR DIF, ANEXO C E SIGNATÁRIOS FORNECEDOR (DOCUMENTOS RESPECTIVOS)",LAYLLAH / MARCUS,3
,25,SOLICITAR IVA GCONT *,,2
,26,SOLICITAR AJUSTE RC À AREA REQUISITANTE,,1
,27,INSERIR  DOCUMENTOS DOS SIGNATÁRIOS NO PROCESSO *,,0
,28,CERTIDÕES DE REGULARIDADE,,0
,29,ASSINATURA DE CONTRATO *,,5
,30,ENCAMINHAMENTO DO CONTRATO AO FORNECEDOR (com Orientações gerais para emissão de Notas Fiscais e Calendário Fiscal),,5
,31,PUBLICAÇÃO DO EXTRATO CONTRATO NO DOU *,,2
,32,CADASTRO DO CONTRATO NO SAP *,,1
,33,"SOLICITAR GARANTIA, QUANDO CONSTAR NO TR *",,0
,34,ENCAMINHAR CONTRATO PARA PUBLICAÇÃO NO SITE DA TELEBRAS,,1
,35,DEG (elaborar e encaminhar ao fiscal),,1
,36,ELABORAR DESPACHO E ENVIAR PARA GESTÃO CONTRATUAL *,,1
,,TOTAL,,144
,,,,
,,Obersarvações:,,
,1,* Apenas quando necessária  a formalização de contrato - art. 73 da Lei nº 13.303/2016. ,,
,2,"Pregão - Fase RECURSO: se não houver itenção de recursos, o prazo limite 25 de dias úteis será desconsiderado.",,
,3,"Pregão - Fase ABERTURA DA SESSÃO PÚBLICA: se for para aquisição de bens, são 8 dias úteis da data da publicação do Edital no PNCP, se for par contratação de serviços, serão 15 dias úteis.",,
,4,"Pregão - Fase ANÁLISE DE PROPOSTA/HABILITAÇÃO: TÉCNICA: pode variar, dependendo da disponibilidade da área técnica para análise e resposta.",,
